slug,title,url,kind,author,published,modified,topics,tags,reading_time,featured_image,description,word_count
notes-on-ai-led-growth-alg,Notes on AI Led Growth (ALG),https://arnon.dk/notes-on-ai-led-growth-alg/,post,Arnon Shimoni,2026-03-12T16:18:59+00:00,2026-03-15T18:28:01+00:00,billing,,10 minutes,https://arnon.dk/wp-content/uploads/2026/03/billing-v1-crash.png,"PLG had a good run, but it's not enough anymore. AI is changing how software gets discovered, bought, and expanded. Credits are emerging as the core commercial primitive. Not as a pricing model, but as infrastructure. Notes on what ALG means for billing, growth, and the go-to-market playbook.",2009
extend-or-replace-how-to-evaluate-your-billing-stack-at-ai-scale,Extend or replace – how to evaluate your billing stack at AI scale,https://arnon.dk/extend-or-replace-how-to-evaluate-your-billing-stack-at-ai-scale/,post,Arnon Shimoni,2026-03-15T21:38:13+00:00,2026-03-15T21:38:17+00:00,billing,billing,15 minutes,https://arnon.dk/wp-content/uploads/2026/03/extend-or-replace.png,I managed billing for 200+ price points and 14 engineers. Here's the 6-question framework I wish someone gave me to decide whether to extend or replace a billing stack at scale.,3093
matching-sm-architectures-arch-and-gencode-for-various-nvidia-cards,Matching CUDA arch and CUDA gencode for various NVIDIA architectures,https://arnon.dk/matching-sm-architectures-arch-and-gencode-for-various-nvidia-cards/,post,Arnon Shimoni,2020-10-27T21:14:00+00:00,2026-04-13T10:37:28+00:00,GPUs,compute;compute_52;cuda;cuda arch;gencode;gpu;gtx 1080;nvcc;nvcc arch;nvcc flags;nvcc sm;nvidia;nvidia sm;pascal;sm,9 minutes,https://arnon.dk/wp-content/uploads/2016/11/05791082-photo-nvidia-gpu-roadmap-2013-740x493.jpg,This guide lists the various supported nvcc cuda gencode and cuda arch flags that can be used to compile your GPU code for several different GPUs,2384
contracted-arr-considered-harmful,Contracted ARR considered harmful,https://arnon.dk/contracted-arr-considered-harmful/,post,Arnon Shimoni,2026-04-19T14:20:07+00:00,2026-04-19T14:20:09+00:00,ai,,5 minutes,https://arnon.dk/wp-content/uploads/2026/04/image-3.png,CARR isn't a better version of ARR. It's ARR with a suit on. How AI startups are inflating revenue metrics with opt-out contracts and single-month annualization,754
pricing-is-a-product-surface,Pricing is a product surface,https://arnon.dk/pricing-is-a-product-surface/,post,Arnon Shimoni,2026-05-05T14:48:57+00:00,2026-05-05T14:48:59+00:00,billing,,5 minutes,https://arnon.dk/wp-content/uploads/2026/05/image-2.png,"SaaS freemium fails for AI. With high GPU costs, pricing must be a dynamic product surface. Learn to gate intensity, outcomes, and compute instead of features.",766
you-gotta-deal-with-the-boring-part-first,You gotta deal with the boring part first,https://arnon.dk/you-gotta-deal-with-the-boring-part-first/,post,Arnon Shimoni,2026-06-24T10:58:00+00:00,2026-06-24T11:00:32+00:00,ai;marketing,ai,11 minutes,https://arnon.dk/wp-content/uploads/2026/06/image-1-scaled.png,"Since 2024 the role of the CMO or marketer in a startup has really changed. Mostly, everyone has the same tools so everyone is producing the same slop at the same time. I can no longer remember times that I’ve read content that looks and sounds exactly the same. They organize cool dinners and then […]",3121
what-is-usage-based-billing-tokens-credits-and-outcomes-explained-in-simplified-technical-english,"What is usage-based billing? Tokens, credits, and outcomes, explained in Simplified Technical English",https://arnon.dk/what-is-usage-based-billing-tokens-credits-and-outcomes-explained-in-simplified-technical-english/,post,Arnon Shimoni,2026-07-19T18:46:50+00:00,2026-07-19T18:47:19+00:00,billing,,8 minutes,https://arnon.dk/wp-content/uploads/2026/07/meter-assy.png,"What is usage-based billing? Tokens, credits, and outcomes, explained in the controlled language of aircraft manuals. The unit changes. The meter does not.",1489
the-current-ai-pricing-was-always-going-to-go-away,The current AI pricing was always going to go away,https://arnon.dk/the-current-ai-pricing-was-always-going-to-go-away/,post,Arnon Shimoni,2026-05-22T11:24:39+00:00,2026-07-30T20:09:14+00:00,ai;pricing,,6 minutes,https://arnon.dk/wp-content/uploads/2026/05/image-scaled-1-scaled.png,"The current AI pricing was always going to go away because it just doesn’t make sense. For whatever reason (lots of speculation) Microsoft canceled internal Claude Code licenses, there were widespread reports that Uber blew its entire 2026 AI budget in four months, and we all know GitHub has now dropped flat-rate plans across its […]",1088
about,About Arnon,https://arnon.dk/about/,page,1 minute,,2026-02-02T21:20:08+00:00,,,,,"👋Hi I am a Copenhagen-based CMO/growth and product leader with a long history with revenue, monetization, and AI + agents. Where 📍 Copenhagen, Denmark What VP Growth at Solvimonformerly 🧑‍🏫 Co-founder at Paid.ai Contact 📨 me@arnon.dk LinkedIn 🔗 linkedin.com/in/arnon-shimoni/ Favourite emoji 🐸 I am a PM/Marketing person all in one – focused on monetization for […]",163
now,Now,https://arnon.dk/now/,page,1 minute,,2026-02-21T15:24:33+00:00,,,,,"Updated 21 Feb 2026 Building Solvimon After leaving Paid last year, I’m focused on building and growing Solvimon – a fancy billing system for companies that have outgrown their v1 (be that Stripe or home-grown). I have consulted for Solvimon since 2023, and have helped them win deals with some of Europe’s largest companies – […]",70
